t, E,580.5, 570.0, 549.5, 525.0, 501.0, 477.5, 454.0, 432.0, 411.5, 391.0
ms, mV*ns, mm, mm, mm, mm, mm, mm, mm, mm, mm, mm
255.1, 12515.88, 7.9, 623.1, 5.4, 10.5, 10.0, --, --, 5.1, 11.0, 10.0
258.2, 12723.44, --, 11.8, 5.4, --, --, --, --, --, 8.5, --
261.2, 12896.74, 7.9, 672.6, 5.8, 5.1, 5.8, --, --, 15.5, 6.4, 12.4
264.2, 11975.56, 7.7, 22.9, 7.7, 9.1, 8.9, --, --, 14.5, --, --
267.2, 12691.72, 9.5, 7.2, 10.7, 10.0, 7.9, 15.9, --, 6.4, --, 5.4
270.3, 12482.79, 5.1, 9.8, 5.1, 12.7, 14.9, 10.0, --, 8.9, --, 2.9
273.3, 12629.91, 7.7, 10.7, 5.1, --, 11.8, 25.4, 12.4, --, --, 10.5
276.3, 12705.26, 8.5, 9.3, 6.4, 8.5, 6.5, --, 10.7, --, 8.5, 10.7
279.4, 12553.37, 9.1, 8.9, 7.0, --, 7.2, 18.0, --, 9.3, 6.5, 8.9
282.4, 11539.42, 9.8, 7.0, 7.7, 38.5, --, --, --, 7.2, --, 9.3
285.4, 12713.67, 20.6, 10.7, 5.8, --, --, 17.0, --, --, 8.5, 7.0
288.5, 12959.07, 5.9, 4.2, 5.8, 7.0, --, --, --, 7.7, --, 7.9
291.5, 12314.03, 8.9, 9.8, 6.4, 13.4, --, --, --, --, --, 2.9
294.5, 13161.05, --, 9.1, 7.2, --, 5.1, --, --, --, --, 6.4
297.5, 12821.26, 10.0, 10.0, 6.5, --, 11.8, --, 12.1, --, 7.2, --
300.6, 12572.39, 6.5, 9.1, 6.4, --, 4.6, 9.1, 12.4, 8.5, --, 5.4
303.6, 12906.61, 7.0, 9.8, 7.7, --, 7.7, --, --, --, --, --
306.6, 12416.79, 5.8, 7.7, --, --, 4.2, --, --, 6.4, --, 7.0
309.7, 13051.65, --, 6.5, 5.8, --, 9.1, --, 11.0, 5.4, 10.2, --
312.7, 12166.76, 7.9, 7.2, 5.4, 9.8, 6.4, --, --, 28.8, --, 5.4
315.7, 12580.61, 10.0, 515.2, 6.5, 7.2, 7.9, 20.6, 6.4, 7.0, 4.6, 5.1
318.8, 12573.77, --, 17.5, 6.4, --, --, --, --, 7.7, --, --
321.8, 12352.28, 40.1, 546.7, 6.4, 10.0, --, 57.7, --, 5.9, 8.9, 8.5
324.8, 12517.52, 7.9, 801.1, 8.5, --, --, --, --, 9.8, 8.9, 11.8
327.9, 12071.95, 8.9, 9.3, 5.8, 4.6, 5.9, --, --, 11.0, --, 7.9
330.9, 12748.89, 5.4, 9.8, 6.5, 9.1, 7.7, 4.6, --, 5.8, --, 5.4
333.9, 12442.86, 7.9, 7.7, 7.2, --, 7.9, --, --, 12.1, --, 7.7
336.9, 11693.02, --, 797.4, --, --, --, --, 13.4, 32.9, --, 8.5
340.0, 11461.62, --, 13.9, --, --, --, --, 11.8, --, --, 7.7
343.0, 12876.93, --, 10.0, 6.4, --, --, --, 15.5, --, 3.5, --
346.0, 12578.83, --, 7.0, 6.5, 7.2, 5.9, 12.7, --, --, --, 8.5
349.1, 13045.37, 7.9, 872.0, 7.0, --, --, --, 9.5, --, --, 9.5
352.1, 12294.40, 6.5, 13.0, 7.2, 11.8, 8.5, --, --, --, --, --
